id;clause_name;clause_type;content_template;variables;description;is_standard;industry;created_by;created_at;updated_at
633c46bb-8cb8-4a75-b702-2e140695fbfb;Standard Recital - Business Purpose;recitals;"WHEREAS, the Parties desire to enter into a mutually beneficial business arrangement for the purpose of {{business_purpose}}, and wish to set forth the terms and conditions governing their relationship;";"[""business_purpose""]";Standard opening recital establishing business purpose;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
46415e0c-bb24-4d4a-88c0-9420fb5022aa;Revenue Share Recital;recitals;"WHEREAS, {{party_a}} possesses expertise in {{expertise_a}} and {{party_b}} possesses capabilities in {{expertise_b}}, and the Parties wish to collaborate and share revenues according to the terms set forth herein;";"[""party_a"",""expertise_a"",""party_b"",""expertise_b""]";Recital for revenue sharing arrangements;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
cd008f2c-cfbf-4975-b72f-6c4fd4a9c404;Gross Revenue Definition;definitions;"""Gross Revenue"" shall mean all revenue received by or on behalf of the Business from the sale of products or services, before deduction of any costs, expenses, or charges.";[];Standard definition of Gross Revenue for commission calculations;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
dbe0c387-dcb3-4efc-a7b6-4b32af088f67;Qualified Meeting Definition;definitions;"""Qualified Meeting"" shall mean a scheduled meeting or call with a prospective client that meets ALL of the following criteria: (a) the prospect has decision-making authority, (b) the meeting lasts a minimum of {{min_duration}} minutes, (c) genuine interest was expressed, and (d) documented in CRM.";"[""min_duration""]";Definition for sales meeting qualification;true;sales;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
c3254256-c655-4529-9293-24d09dddf417;Authority to Enter Agreement;representations;"Each Party represents and warrants that: (a) it has full power and authority to enter into this Agreement; (b) execution does not conflict with any other agreement; and (c) this Agreement constitutes a binding obligation.";[];Standard representation of authority;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
deef76d3-6f69-4b04-b644-f64c20c38bbe;Confidentiality Covenant;covenants;Each Party agrees to maintain in strict confidence all Confidential Information received from the other Party and shall not disclose to any third party without prior written consent.;[];Standard confidentiality covenant;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
2c794a14-99a5-4899-be9f-6f6876020960;Non-Circumvention Covenant;covenants;For a period of {{restriction_period}} following termination, no Party shall directly or indirectly contact or engage in business with any client introduced by another Party, except with written consent.;"[""restriction_period""]";Non-circumvention clause to protect business relationships;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
5e44434f-f168-4c7b-beeb-263776363dfe;Commission Payment Terms;payment_terms;Commissions shall be calculated on {{commission_basis}} and paid within {{payment_days}} days following the end of each {{payment_period}}. Payments shall be made via {{payment_method}}.;"[""commission_basis"",""payment_days"",""payment_period"",""payment_method""]";Standard commission payment terms;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
f45f9b96-3855-4067-b4f3-9dd166faf788;Escrow Distribution Terms;payment_terms;All funds shall be held in a designated escrow account managed by {{escrow_manager}}. Funds shall be distributed automatically upon verification of trigger events as defined in the Distribution Schedule.;"[""escrow_manager""]";Escrow-based payment distribution terms;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
250e73bf-0111-49d1-b4eb-c5ef66521fbe;Work Product Ownership;ip_ownership;All work product created by {{creator_party}} in connection with this Agreement shall be owned by {{owner_party}}. {{creator_party}} hereby assigns all rights to {{owner_party}}.;"[""creator_party"",""owner_party""]";Work product ownership assignment;true;technology;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
4076e6fb-d68b-4e5f-989f-163d0f8b087c;Joint IP Ownership;ip_ownership;"Any intellectual property developed jointly (""Joint IP"") shall be owned jointly by the Parties in equal shares. Each Party may use and license Joint IP without accounting to the others.";[];Joint IP ownership for collaborative work;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
3288d54e-c6d1-4c30-a712-70900227a943;Termination for Convenience;termination;Either Party may terminate for any reason upon {{notice_period}} written notice. Upon termination: (a) outstanding commissions shall be paid within {{final_payment_days}} days, (b) Confidential Information returned.;"[""notice_period"",""final_payment_days""]";Termination for convenience with wind-down provisions;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
df365539-eae2-41ac-857e-314e0350a148;Termination for Cause;termination;Either Party may terminate immediately if: (a) material breach not cured within {{cure_period}} days, (b) insolvency or bankruptcy, (c) fraud or gross negligence, or (d) violation of applicable law.;"[""cure_period""]";Termination for cause provisions;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
0c1ea5e8-37b1-40a2-a090-c52fb9c95c27;Mediation First;dispute_resolution;Any dispute shall first be submitted to mediation by {{mediation_body}}. If unsuccessful within {{mediation_period}} days, either Party may proceed to binding arbitration.;"[""mediation_body"",""mediation_period""]";Mediation-first dispute resolution;true;;;2026-01-06 07:57:07.429577+00;2026-01-06 07:57:07.429577+00
