id;user_id;name;brand_name;description;category_id;naics_code;industry;logo_url;banner_url;investment_min;investment_max;franchise_fee;royalty_fee_percent;training_provided;training_duration_weeks;support_provided;territories_available;total_units;year_established;franchise_since;website;contact_email;contact_phone;status;is_featured;views_count;applications_count;rating;created_at;updated_at;sop_content;future_ready;predicted_year
2b4ac351-6d45-4230-9c9f-c8d9adadc521;;xRepairX Pothole Services;xRepairX;Road surface repair and pothole patching services. Partner with municipalities and fleet data providers to identify and repair infrastructure issues quickly.;;;Home Services;;;15000;50000;5000;8;true;;Full training on repair techniques, equipment operation, and customer acquisition. Ongoing support includes lead generation from Fleet Intelligence partners.;0;0;;;;;;active;true;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
3b2cd943-41b9-41ab-8d9d-19c8fd7e68e5;;LightFix Pro;LightFix Pro;Street lighting repair and installation services for municipalities and commercial properties. Leverage visual data to identify lighting issues proactively.;;;Home Services;;;20000;75000;7500;8;true;;Comprehensive electrical safety training, permit navigation, and ongoing technical support.;0;0;;;;;;active;false;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
2d76e6a7-7daf-4fb5-b0e1-3f5819e7cbb2;;FenceRight Solutions;FenceRight;Fence repair and installation services for residential and commercial properties. Quick response to identified property maintenance needs.;;;Home Services;;;10000;35000;3500;8;true;;Materials sourcing, installation techniques, and business operations training.;0;0;;;;;;active;false;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
fbe49018-0405-4da0-b194-323752e5bec5;;ProPaint Commercial;ProPaint;Exterior and interior commercial painting services. Systematic approach to building maintenance and beautification.;;;Home Services;;;25000;100000;10000;7;true;;Full painting certification, equipment training, and commercial bidding support.;0;0;;;;;;active;true;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
ab85a001-87f9-47ab-af84-1db3e3ccc6c6;;FlowFix Plumbing;FlowFix;Emergency and scheduled plumbing repair services. Rapid response to leaks and infrastructure issues detected through visual monitoring.;;;Home Services;;;30000;125000;15000;8;true;;Plumbing certification assistance, emergency response protocols, and vendor relationships.;0;0;;;;;;active;false;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
758787f0-d7b9-42a8-8427-aeac737a7286;;SparkSafe Electrical;SparkSafe;Electrical system repairs and upgrades for residential and commercial properties. Safety-first approach with certified technicians.;;;Home Services;;;40000;150000;20000;8;true;;Electrical certification pathways, safety training, and code compliance support.;0;0;;;;;;active;false;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
1bf45729-3220-41bb-8c7b-47c8f30de00a;;SignPro Services;SignPro;Traffic and business sign repair and installation. Partner with municipalities for infrastructure maintenance contracts.;;;Home Services;;;15000;45000;5000;7;true;;Sign fabrication, installation training, and municipal contracting guidance.;0;0;;;;;;active;false;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
bc2157a9-9bc2-4b44-8d4c-401f4e908c17;;ClimateControl HVAC;ClimateControl;Heating, ventilation, and air conditioning services. Comprehensive maintenance and emergency repair capabilities.;;;Home Services;;;50000;200000;25000;8;true;;HVAC certification, equipment training, and seasonal business planning.;0;0;;;;;;active;true;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
cdc9d40a-86c7-4936-aa94-f4ce61eafe2a;;GreenScape Landscaping;GreenScape;Professional lawn care and landscaping services. Property maintenance and beautification solutions.;;;Home Services;;;20000;75000;8000;7;true;;Equipment operation, plant care, and commercial contract management.;0;0;;;;;;active;false;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
0efca578-dbeb-4f5e-8089-c9a57c0cba18;;RoofGuard Services;RoofGuard;Roof inspection, repair, and replacement services. Quick response to weather damage and maintenance needs.;;;Home Services;;;45000;175000;20000;8;true;;Roofing certification, safety training, and insurance claim navigation.;0;0;;;;;;active;false;0;0;0;2025-12-24 17:19:57.204906+00;2025-12-24 17:19:57.204906+00;;false;
